Reporting period,Period of coverage,Breakdown,CCG Code,Level,Level description,Gender,Indicator value,CI lower,CI upper,Denominator,Numerator
2019,01/01/2019 to 31/12/2019,CCG,E38000049,06K,"NHS East and North Hertfordshire CCG",Person,14.6,11.5,18.3,554328,76
2019,01/01/2019 to 31/12/2019,CCG,E38000224,15D,"NHS East Berkshire CCG",Person,18.9,14.6,24,437111,67
2019,01/01/2019 to 31/12/2019,CCG,E38000050,01A,"NHS East Lancashire CCG",Person,24.3,19.3,30,355040,84
2019,01/01/2019 to 31/12/2019,CCG,E38000051,03W,"NHS East Leicestershire and Rutland CCG",Person,10.2,7,14.3,298874,33
2019,01/01/2019 to 31/12/2019,CCG,E38000052,02Y,"NHS East Riding of Yorkshire CCG",Person,12.6,9.1,17.2,270809,42
2019,01/01/2019 to 31/12/2019,CCG,E38000053,05D,"NHS East Staffordshire CCG",Person,16.7,10.4,25.3,131258,22
2019,01/01/2019 to 31/12/2019,CCG,E38000235,97R,"NHS East Sussex CCG",Person,15.7,12.6,19.3,492525,90
2019,01/01/2019 to 31/12/2019,CCG,E38000059,10K,"NHS Fareham and Gosport CCG",Person,14.5,9.8,20.8,183385,30
2019,01/01/2019 to 31/12/2019,CCG,E38000226,02M,"NHS Fylde and Wyre CCG",Person,26.1,19.2,34.6,155204,49
2019,01/01/2019 to 31/12/2019,CCG,E38000062,11M,"NHS Gloucestershire CCG",Person,13.4,10.6,16.6,590508,82
2019,01/01/2019 to 31/12/2019,CCG,E38000064,03A,"NHS Greater Huddersfield CCG",Person,21.1,15.4,28.2,230975,46
2019,01/01/2019 to 31/12/2019,CCG,E38000227,01E,"NHS Greater Preston CCG",Person,24.5,17.6,33.1,195432,42
2019,01/01/2019 to 31/12/2019,CCG,E38000068,01F,"NHS Halton CCG",Person,26.4,18.1,37.3,123312,32
2019,01/01/2019 to 31/12/2019,CCG,E38000070,08C,"NHS Hammersmith and Fulham CCG",Person,19.7,12.6,29.1,260653,26
2019,01/01/2019 to 31/12/2019,CCG,E38000074,08E,"NHS Harrow CCG",Person,15.8,10.6,22.4,253306,31
2019,01/01/2019 to 31/12/2019,CCG,E38000077,08F,"NHS Havering CCG",Person,16.7,11.9,22.8,256729,40
2019,01/01/2019 to 31/12/2019,CCG,E38000236,18C,"NHS Herefordshire and Worcestershire CCG",Person,15.8,13.1,18.8,715921,124
2019,01/01/2019 to 31/12/2019,CCG,E38000079,06N,"NHS Herts Valley CCG",Person,15.4,12.3,19.1,603006,85
2019,01/01/2019 to 31/12/2019,CCG,E38000080,01D,"NHS Heywood, Middleton and Rochdale CCG",Person,24.8,18.5,32.7,220295,51
2019,01/01/2019 to 31/12/2019,CCG,E38000082,08G,"NHS Hillingdon CCG",Person,23.3,17.5,30.5,298991,55
2019,01/01/2019 to 31/12/2019,CCG,E38000084,07Y,"NHS Hounslow CCG",Person,16.4,11.4,22.8,308891,37
2019,01/01/2019 to 31/12/2019,CCG,E38000085,03F,"NHS Hull CCG",Person,20,14.8,26.3,281130,50
2019,01/01/2019 to 31/12/2019,CCG,E38000086,06L,"NHS Ipswich and East Suffolk CCG",Person,10.2,7.3,13.9,369453,40
2019,01/01/2019 to 31/12/2019,CCG,E38000087,10L,"NHS Isle of Wight CCG",Person,17.3,11.4,25.2,126452,28
2019,01/01/2019 to 31/12/2019,CCG,E38000237,91Q,"NHS Kent and Medway CCG",Person,18.1,16.2,20.3,1741664,307
2019,01/01/2019 to 31/12/2019,CCG,E38000089,11N,"NHS Kernow CCG",Person,17.8,14.6,21.6,517835,107
2019,01/01/2019 to 31/12/2019,CCG,E38000091,01J,"NHS Knowsley CCG",Person,30.3,22.1,40.5,154623,46
2019,01/01/2019 to 31/12/2019,CCG,E38000225,15F,"NHS Leeds CCG",Person,20.2,16.9,23.9,829865,136
2019,01/01/2019 to 31/12/2019,CCG,E38000097,04C,"NHS Leicester City CCG",Person,12.3,8.6,17.2,395974,36
2019,01/01/2019 to 31/12/2019,CCG,E38000238,71E,"NHS Lincolnshire CCG",Person,15.1,12.4,18.1,710610,117
2019,01/01/2019 to 31/12/2019,CCG,E38000101,99A,"NHS Liverpool CCG",Person,22.7,18.3,27.7,507552,96
2019,01/01/2019 to 31/12/2019,CCG,E38000102,06P,"NHS Luton CCG",Person,17.2,11.5,24.7,224325,30
2019,01/01/2019 to 31/12/2019,CCG,E38000217,14L,"NHS Manchester CCG",Person,26.1,21.1,31.7,630776,106
2019,01/01/2019 to 31/12/2019,CCG,E38000106,06Q,"NHS Mid Essex CCG",Person,15.3,11.5,19.9,358842,56
2019,01/01/2019 to 31/12/2019,CCG,E38000107,04F,"NHS Milton Keynes CCG",Person,16.5,11.7,22.5,282618,40
2019,01/01/2019 to 31/12/2019,CCG,E38000228,01K,"NHS Morecambe Bay CCG",Person,21.7,16.9,27.3,313750,72
2019,01/01/2019 to 31/12/2019,CCG,E38000212,13T,"NHS Newcastle Gateshead CCG",Person,25.5,20.9,30.8,492798,108
2019,01/01/2019 to 31/12/2019,CCG,E38000113,08M,"NHS Newham CCG",Person,14.1,9.5,20.1,399826,35
2019,01/01/2019 to 31/12/2019,CCG,E38000239,26A,"NHS Norfolk and Waveney CCG",Person,16.6,14.1,19.3,942553,171
2019,01/01/2019 to 31/12/2019,CCG,E38000240,93C,"NHS North Central London CCG",Person,14.5,12.2,17,1565207,159
2019,01/01/2019 to 31/12/2019,CCG,E38000215,01H,"NHS North Cumbria CCG",Person,16.8,12.6,21.9,291860,55
2019,01/01/2019 to 31/12/2019,CCG,E38000117,06T,"NHS North East Essex CCG",Person,17.4,13.2,22.6,319079,57
2019,01/01/2019 to 31/12/2019,CCG,E38000118,99M,"NHS North East Hampshire and Farnham CCG",Person,17,11.8,23.9,209577,34
2019,01/01/2019 to 31/12/2019,CCG,E38000119,03H,"NHS North East Lincolnshire CCG",Person,25.8,18.4,35.1,154604,40
2019,01/01/2019 to 31/12/2019,CCG,E38000120,10J,"NHS North Hampshire CCG",Person,9.2,5.5,14.4,209486,19
2019,01/01/2019 to 31/12/2019,CCG,E38000121,03J,"NHS North Kirklees CCG",Person,27.2,19.7,36.7,181119,43
2019,01/01/2019 to 31/12/2019,CCG,E38000122,03K,"NHS North Lincolnshire CCG",Person,23.3,16.7,31.6,163679,41
2019,01/01/2019 to 31/12/2019,CCG,E38000126,05G,"NHS North Staffordshire CCG",Person,14.4,9.7,20.4,196236,31
2019,01/01/2019 to 31/12/2019,CCG,E38000127,99C,"NHS North Tyneside CCG",Person,24.3,18.1,32,201292,51
2019,01/01/2019 to 31/12/2019,CCG,E38000241,42D,"NHS North Yorkshire CCG",Person,13.5,10.3,17.4,381306,60
2019,01/01/2019 to 31/12/2019,CCG,E38000242,78H,"NHS Northamptonshire CCG",Person,15.5,12.6,18.8,720649,104
2019,01/01/2019 to 31/12/2019,CCG,E38000130,00L,"NHS Northumberland CCG",Person,23.4,18.4,29.3,292600,78
2019,01/01/2019 to 31/12/2019,CCG,E38000243,52R,"NHS Nottingham and Nottinghamshire CCG",Person,20.7,17.9,23.9,1011626,188
2019,01/01/2019 to 31/12/2019,CCG,E38000135,00Y,"NHS Oldham CCG",Person,30.5,23.5,39,241016,64
2019,01/01/2019 to 31/12/2019,CCG,E38000136,10Q,"NHS Oxfordshire CCG",Person,12,9.4,15,699395,75
2019,01/01/2019 to 31/12/2019,CCG,E38000137,10R,"NHS Portsmouth CCG",Person,23.2,16.4,31.8,217642,39
2019,01/01/2019 to 31/12/2019,CCG,E38000138,08N,"NHS Redbridge CCG",Person,14,9.5,19.8,309861,33
2019,01/01/2019 to 31/12/2019,CCG,E38000141,03L,"NHS Rotherham CCG",Person,24,18.1,31.1,241875,57
2019,01/01/2019 to 31/12/2019,CCG,E38000143,01G,"NHS Salford CCG",Person,20,14.3,27.3,262263,41
2019,01/01/2019 to 31/12/2019,CCG,E38000144,05L,"NHS Sandwell and West Birmingham CCG",Person,21.8,17.6,26.8,543378,95
2019,01/01/2019 to 31/12/2019,CCG,E38000146,03N,"NHS Sheffield CCG",Person,19.9,16.1,24.4,562521,94
2019,01/01/2019 to 31/12/2019,CCG,E38000147,05N,"NHS Shropshire CCG",Person,17.7,13.3,23,276587,57
2019,01/01/2019 to 31/12/2019,CCG,E38000150,11X,"NHS Somerset CCG",Person,14.6,11.6,18.1,516531,84
2019,01/01/2019 to 31/12/2019,CCG,E38000244,72Q,"NHS South East London CCG",Person,15.7,13.6,18.1,1891250,209
2019,01/01/2019 to 31/12/2019,CCG,E38000153,05Q,"NHS South East Staffordshire and Seisdon Peninsula CCG",Person,21.6,15.7,29,192764,44
2019,01/01/2019 to 31/12/2019,CCG,E38000154,10V,"NHS South Eastern Hampshire CCG",Person,15,10,21.4,192945,30
2019,01/01/2019 to 31/12/2019,CCG,E38000161,01T,"NHS South Sefton CCG",Person,28.7,20.5,39.2,141890,40
2019,01/01/2019 to 31/12/2019,CCG,E38000163,00N,"NHS South Tyneside CCG",Person,25.4,18,34.9,144161,38
2019,01/01/2019 to 31/12/2019,CCG,E38000164,05R,"NHS South Warwickshire CCG",Person,12.4,8.6,17.2,262926,35
2019,01/01/2019 to 31/12/2019,CCG,E38000245,36L,"NHS South West London CCG",Person,14.5,12.4,16.9,1594975,171
2019,01/01/2019 to 31/12/2019,CCG,E38000167,10X,"NHS Southampton CCG",Person,17.2,12,23.8,273003,36
2019,01/01/2019 to 31/12/2019,CCG,E38000168,99G,"NHS Southend CCG",Person,18.6,12.6,26.4,172828,31
2019,01/01/2019 to 31/12/2019,CCG,E38000170,01V,"NHS Southport and Formby CCG",Person,19.3,12.5,28.5,109116,25
2019,01/01/2019 to 31/12/2019,CCG,E38000172,01X,"NHS St Helens CCG",Person,28.8,21.6,37.6,180040,54
2019,01/01/2019 to 31/12/2019,CCG,E38000173,05V,"NHS Stafford and Surrounds CCG",Person,15.2,9.5,23,133363,22
2019,01/01/2019 to 31/12/2019,CCG,E38000174,01W,"NHS Stockport CCG",Person,22.8,17.5,29.1,286314,64
2019,01/01/2019 to 31/12/2019,CCG,E38000175,05W,"NHS Stoke on Trent CCG",Person,22.4,16.9,29.1,271504,56
2019,01/01/2019 to 31/12/2019,CCG,E38000176,00P,"NHS Sunderland CCG",Person,28.1,22.1,35.2,259848,75
2019,01/01/2019 to 31/12/2019,CCG,E38000246,92A,"NHS Surrey Heartlands CCG",Person,14.1,11.8,16.7,999531,134
2019,01/01/2019 to 31/12/2019,CCG,E38000178,10C,"NHS Surrey Heath CCG",Person,14.7,7.8,25.2,88419,13
2019,01/01/2019 to 31/12/2019,CCG,E38000182,01Y,"NHS Tameside and Glossop CCG",Person,28.9,22.2,36.9,230866,64
2019,01/01/2019 to 31/12/2019,CCG,E38000247,16C,"NHS Tees Valley CCG",Person,24.7,21,28.9,648486,157
2019,01/01/2019 to 31/12/2019,CCG,E38000183,05X,"NHS Telford and Wrekin CCG",Person,14,8.8,20.9,176186,23
2019,01/01/2019 to 31/12/2019,CCG,E38000185,07G,"NHS Thurrock CCG",Person,12.7,7.5,20.1,168475,18
2019,01/01/2019 to 31/12/2019,CCG,E38000186,08V,"NHS Tower Hamlets CCG",Person,16.5,10.2,25.1,327328,24
2019,01/01/2019 to 31/12/2019,CCG,E38000187,02A,"NHS Trafford CCG",Person,15.3,10.4,21.6,223836,32
2019,01/01/2019 to 31/12/2019,CCG,E38000188,03Q,"NHS Vale of York CCG",Person,11.6,8.2,15.9,329245,38
2019,01/01/2019 to 31/12/2019,CCG,E38000190,03R,"NHS Wakefield CCG",Person,28.7,23.3,35,348085,98
2019,01/01/2019 to 31/12/2019,CCG,E38000191,05Y,"NHS Walsall CCG",Person,17.5,12.6,23.8,265828,41
2019,01/01/2019 to 31/12/2019,CCG,E38000192,08W,"NHS Waltham Forest CCG",Person,11.6,7.5,17.1,301852,27
2019,01/01/2019 to 31/12/2019,CCG,E38000194,02E,"NHS Warrington CCG",Person,19,13.4,26.1,201751,38
2019,01/01/2019 to 31/12/2019,CCG,E38000195,05H,"NHS Warwickshire North CCG",Person,22.7,16.3,30.8,176107,41
2019,01/01/2019 to 31/12/2019,CCG,E38000197,07H,"NHS West Essex CCG",Person,14.9,10.7,20.2,291575,41
2019,01/01/2019 to 31/12/2019,CCG,E38000198,11A,"NHS West Hampshire CCG",Person,9.5,7.1,12.4,505692,52
2019,01/01/2019 to 31/12/2019,CCG,E38000200,02G,"NHS West Lancashire CCG",Person,21,13.3,31.5,102563,23
2019,01/01/2019 to 31/12/2019,CCG,E38000201,04V,"NHS West Leicestershire CCG",Person,17.2,13.2,22.1,365156,62
2019,01/01/2019 to 31/12/2019,CCG,E38000202,08Y,"NHS West London CCG",Person,7.4,3.9,12.6,242253,14
2019,01/01/2019 to 31/12/2019,CCG,E38000204,07K,"NHS West Suffolk CCG",Person,16.8,12.1,22.6,226612,43
2019,01/01/2019 to 31/12/2019,CCG,E38000248,70F,"NHS West Sussex CCG",Person,12.3,10,14.9,800614,104
2019,01/01/2019 to 31/12/2019,CCG,E38000205,02H,"NHS Wigan Borough CCG",Person,31.4,25.5,38.4,303684,96
2019,01/01/2019 to 31/12/2019,CCG,E38000208,12F,"NHS Wirral CCG",Person,25.2,19.9,31.3,304903,80
2019,01/01/2019 to 31/12/2019,CCG,E38000210,06A,"NHS Wolverhampton CCG",Person,28.8,22.2,36.7,262858,66
